0,1
"A wild Saturday Evening with my old friend Piatti and Peppermint Tea 🍵 
#PotatoPractice

#tinaguo #cello #cellist #classical #classicalmusic #classicalmusician #stringplayer #music #musician #practice https://t.co/PJnIiKnayN",music
"A child's bedtime story by @RaymondAntrobus plus  #Everest #poetry #music.. with the evergreen+tree loving Clive Anderson , and crack team @sukeyfirth etc https://t.co/Jy89DdahOR #looseends thank you also for asking about the new album #wecomefromthesun on @DeccaRecords",music
"So yea.. i can rap too. New single dropping on 12/31/20❗️
Available to stream on all platforms 📻📺📀
•
•
❗️”Really Real”❗️
•
•
Preciate you Code Red for all the work you put in with me. S/o to @yulemontana for the track cover art. 
#SirBinks #music #hiphop https://t.co/JKSvglnJWd",music
"Posted a new song: ""https://t.co/uRfave0jmi - The Birth OF An Artist Vol. 2 - 01 - Change IN My Lyfe"" https://t.co/7nIQG1XjVv #music https://t.co/7r2thxAmyE",music
"RT @MusicBeat5: Jan. 3, 1987 The Bangles were #1 on the Billboard Hot 100 singles chart with the song, 'Walk Like An Egyptian'. #Music  htt…",music
Thank you @BustaRhymes for E.L.E. 2 The Wrath of God (Audio) ft. @LouisFarrakhan https://t.co/jemTyf80vQ 🙏🏾❤️👣🎊🤲🏾 #Powerful #Music #HipHop #TheWrathOfGod,music
"Working my way through my favourite #jazz #music #films to improve the blue Covid-Jan #nogigs mood, this opening speech from #JeffGoldblum in #LushLifemovie always makes me smile and I #misquote it a lot .. a film for all the ‘gigging #sidemen’ out there (side people?). #promuso https://t.co/0HaEGEUMGe",music
"Inspiration.

Joy Division's Atrocity Exhibition.
U2's Wire
Jesus Lizard's The Art Of Self Defense
My Bloody Valentine's Soon.

Inspired My Furious Heart. 

#music #DIY 
Stone -My Furious Heart (Instrumental Noise Rock/Abstract Art Rock) https://t.co/geo2mefTQE via @YouTube",music
"RT @rzeta0: What do you recommend for a documentary on the history of #hiphop and it's broad family of rap, scratching, graffiti art,  ..…",music
"RT @teenfreaks2: The next #pickoftheweek is almost ready. 
Loads of great tunes... comment with a #youtube link.
We always look for new #mu…",music
La Belle Mixtape | Summer Memories | Henri PFR https://t.co/PPXvaKtwoM #LaBelleMusique #LaBelleMixtape #Music #Tunes #Ambient #Chill #Chillout #Lounge #DaTempo #Downtempo #Indie #SmoothBeats #Electro https://t.co/7pB2vjQy9a,music
"RT @FalmouthNubNews: Will Keating’s new EP is out now! And on his birthday too, happy birthday Will! 🙌 #Falmouth #Cornwall #Music #EP @will…",music
"Photos mes passions year 2021 Jour 3
Apollo Junction /SC Bastia 

Passion photos year 2021 Day 3
Apollo Junction /SC Bastia

#passion #newyear #souvenirs #memories #happynewyear #music #foot
#concertpic #footpic #ApolloJunction #scbastia https://t.co/JQP2TPHiu6",music
"RT @mrsteady4u: Posted a new song: ""Voodoo Karma Groove"" https://t.co/mKK1kjH1w2 #music https://t.co/Q02Alw9uwc",music
